species;longitude;latitude
Plagioscion_squamosissimus;-49.996;-22.909
Plagioscion_squamosissimus;-49.996;-22.909
Plagioscion_squamosissimus;-51.381;-22.661
Plagioscion_squamosissimus;-49.996;-22.909
Plagioscion_squamosissimus;-49.996;-22.909
Plagioscion_squamosissimus;-49.996;-22.909
Plagioscion_squamosissimus;-49.996;-22.909
Plagioscion_squamosissimus;-49.996;-22.909
Plagioscion_squamosissimus;-49.996;-22.909
Plagioscion_squamosissimus;-49.996;-22.909
Plagioscion_squamosissimus;-49.996;-22.909
Plagioscion_squamosissimus;-49.996;-22.909
Plagioscion_squamosissimus;-49.996;-22.909
Plagioscion_squamosissimus;-50.262;-22.936
Plagioscion_squamosissimus;-51.381;-22.661
Plagioscion_squamosissimus;-52.027;-22.531
Plagioscion_squamosissimus;-52.027;-22.531
Plagioscion_squamosissimus;-50.262;-22.936
Plagioscion_squamosissimus;-51.381;-22.661
Plagioscion_squamosissimus;-49.996;-22.909
Plagioscion_squamosissimus;-51.381;-22.661
Plagioscion_squamosissimus;-50.262;-22.936
Plagioscion_squamosissimus;-52.027;-22.531
Plagioscion_squamosissimus;-52.027;-22.531
Plagioscion_squamosissimus;-52.027;-22.531
Plagioscion_squamosissimus;-52.16;-22.639
Plagioscion_squamosissimus;-52.16;-22.639
Plagioscion_squamosissimus;-52.027;-22.531
Plagioscion_squamosissimus;-52.028;-22.546
Plagioscion_squamosissimus;-52.027;-22.531
Plagioscion_squamosissimus;-52.16;-22.603
Plagioscion_squamosissimus;-52.16;-22.603
Plagioscion_squamosissimus;-52.16;-22.639
Plagioscion_squamosissimus;-52.027;-22.531
Plagioscion_squamosissimus;-52.16;-22.603
Plagioscion_squamosissimus;-50.527;-22.944
Plagioscion_squamosissimus;-52.16;-22.603
Plagioscion_squamosissimus;-52.16;-22.603
Plagioscion_squamosissimus;-52.16;-22.639
Plagioscion_squamosissimus;-52.16;-22.639
Plagioscion_squamosissimus;-52.16;-22.639
Plagioscion_squamosissimus;-49.992;-22.916
Plagioscion_squamosissimus;-49.992;-22.916
Plagioscion_squamosissimus;-49.992;-22.916
Plagioscion_squamosissimus;-49.992;-22.916
Plagioscion_squamosissimus;-49.992;-22.916
Plagioscion_squamosissimus;-49.992;-22.916
Plagioscion_squamosissimus;-49.992;-22.916
Plagioscion_squamosissimus;-50.262;-22.935
Plagioscion_squamosissimus;-49.992;-22.916
Plagioscion_squamosissimus;-50.262;-22.935
Plagioscion_squamosissimus;-49.992;-22.916
Plagioscion_squamosissimus;-49.992;-22.916
Plagioscion_squamosissimus;-50.262;-22.935
Plagioscion_squamosissimus;-50.262;-22.935
Plagioscion_squamosissimus;-50.262;-22.935
Plagioscion_squamosissimus;-49.992;-22.916
Plagioscion_squamosissimus;-49.992;-22.916
Plagioscion_squamosissimus;-49.992;-22.916
Plagioscion_squamosissimus;-44.2475;-5.3108
Plagioscion_squamosissimus;-44.2492;-6.0258
Plagioscion_squamosissimus;-44.2492;-6.0258
Plagioscion_squamosissimus;-44.2475;-5.3108
Plagioscion_squamosissimus;-44.2475;-5.3108
Plagioscion_squamosissimus;-44.2408;-2.94
Plagioscion_squamosissimus;-44.2408;-2.94
Plagioscion_squamosissimus;-44.2492;-6.0258
Plagioscion_squamosissimus;-44.2475;-5.3108
Plagioscion_squamosissimus;-53.3494;-22.7914
Plagioscion_squamosissimus;-50.2646;-21.107
Plagioscion_squamosissimus;-57.8539;-21.3381
Plagioscion_squamosissimus;-42.817;-5.1056
Plagioscion_squamosissimus;-39.218;-3.8607
Plagioscion_squamosissimus;-42.825;-5.0917
Plagioscion_squamosissimus;-42.9833;-21.2
Plagioscion_squamosissimus;-48.16;-22.56
Plagioscion_squamosissimus;-48.7517;-22.1472
Plagioscion_squamosissimus;-54.3167;-24.1667
Plagioscion_squamosissimus;-43.4392;-13.4869
Plagioscion_squamosissimus;-42.817;-5.1056
Plagioscion_squamosissimus;-48.03;-20.17
Plagioscion_squamosissimus;-46.1975;-23.2525
Plagioscion_squamosissimus;-47.2526;-22.7173
Plagioscion_squamosissimus;-47.2847;-22.7001
Plagioscion_squamosissimus;-48.03;-20.17
Plagioscion_squamosissimus;-48.94;-20.49
Plagioscion_squamosissimus;-50.6361;-18.8558
Plagioscion_squamosissimus;-49.8614;-18.805
Plagioscion_squamosissimus;-50.4247;-18.8339
Plagioscion_squamosissimus;-50.5022;-18.9944
Plagioscion_squamosissimus;-50.5039;-19.0425
Plagioscion_squamosissimus;-50.5039;-19.0425
Plagioscion_squamosissimus;-48.5244;-21.8667
Plagioscion_squamosissimus;-51.6268;-20.7684
Plagioscion_squamosissimus;-57.8539;-21.3381
Plagioscion_squamosissimus;-51.6261;-20.7346
Plagioscion_squamosissimus;-49.7931;-21.2922
Plagioscion_squamosissimus;-50.3533;-19.8575
Plagioscion_squamosissimus;-53.0583;-22.5675
Plagioscion_squamosissimus;-56.7464;-20.1172
Plagioscion_squamosissimus;-49.7417;-21.2028
Plagioscion_squamosissimus;-51.34;-20.43
Plagioscion_squamosissimus;-52.9556;-22.37
Plagioscion_squamosissimus;-52.9556;-22.37
Plagioscion_squamosissimus;-52.9556;-22.37
Plagioscion_squamosissimus;-50.3633;-19.8572
Plagioscion_squamosissimus;-50.3247;-19.8725
Plagioscion_squamosissimus;-51.0022;-20.1794
Plagioscion_squamosissimus;-51.3431;-20.3811
Plagioscion_squamosissimus;-42.825;-5.0917
Plagioscion_squamosissimus;-42.9833;-21.2
Plagioscion_squamosissimus;-39.218;-3.8607
Plagioscion_squamosissimus;-53.3333;-22.7167
Plagioscion_squamosissimus;-52.75;-24.8333
Plagioscion_squamosissimus;-54.5881;-25.5467
Plagioscion_squamosissimus;-53.5372;-22.7944
Plagioscion_squamosissimus;-53.5372;-22.7944
Plagioscion_squamosissimus;-53.5372;-22.7944
Plagioscion_squamosissimus;-53.5372;-22.7944
Plagioscion_squamosissimus;-53.5372;-22.7944
Plagioscion_squamosissimus;-53.2833;-22.75
Plagioscion_squamosissimus;-51.2853;-22.3903
Plagioscion_squamosissimus;-49.9503;-23.1306
Plagioscion_squamosissimus;-43.0228;-6.7669
Plagioscion_squamosissimus;-54.3642;-24.8272
Plagioscion_squamosissimus;-54.3642;-24.8272
Plagioscion_squamosissimus;-54.25;-24.8333
Plagioscion_squamosissimus;-36.945;-5.5347
Plagioscion_squamosissimus;-54.5881;-25.5467
Plagioscion_squamosissimus;-50.8544;-19.2969
Plagioscion_squamosissimus;-52.8722;-22.6003
Plagioscion_squamosissimus;-52.8497;-22.6225
Plagioscion_squamosissimus;-50.6433;-19.1267
Plagioscion_squamosissimus;-53.5689;-20.6728
Plagioscion_squamosissimus;-43.4283;-13.4489
